County,Indigenous,Has.a.reservation..1.yes..0.no
Aitkin,318,0
Anoka,"2,065",0
Becker,2454,1
Beltrami,"9,117",1
Benton,50,0
Big Stone,NA,NA
Blue Earth,NA,NA
Brown,57,0
Carlton,NA,NA
Carver,NA,NA
Cass,NA,NA
Chippewa,206,0
Chisago,NA,NA
Clay,NA,NA
Clearwater,NA,NA
Cook,NA,NA
Cottonwood,NA,NA
Crow Wing,NA,NA
Dakota,"1,111",0
Dodge,74,0
Douglas,NA,NA
Faribault,41,0
Fillmore,NA,NA
Freeborn,NA,NA
Goodhue,NA,NA
Grant,NA,NA
Hennepin,"7,067",0
Houston,45,0
Hubbard,447,1
Isanti,NA,NA
Itasca,NA,NA
Jackson,NA,NA
Kanabec,78,0
Kandiyohi,NA,NA
Kittson,NA,NA
Koochiching,NA,NA
Lac Qui Parle,NA,NA
Lake,92,0
Lake Of The Wood,NA,NA
Le Sueur,NA,NA
Lincoln,NA,NA
Lyon,NA,NA
Mahnomen,"2,110",1
Marshall,28,0
Martin,NA,NA
McLeod,NA,NA
Meeker,NA,NA
Mille Lacs,NA,NA
Morrison,NA,NA
Mower,NA,NA
Murray,NA,NA
Nicollet,NA,NA
Nobles,NA,NA
Norman,142,0
Olmsted,370,0
Otter Tail,NA,NA
Pennington,233,0
Pine,NA,NA
Pipestone,NA,NA
Polk,NA,NA
Pope,32,0
Ramsey,"2,606",0
Red Lake,NA,NA
Redwood,682,1
Renville,NA,NA
Rice,NA,NA
Rock,NA,NA
Roseau,269,0
Scott,708,1
Sherburne,NA,NA
Sibley,34,0
St. Louis,"3,549",1
Stearns,317,0
Steele,NA,NA
Stevens,156,0
Swift,NA,NA
Todd,NA,NA
Traverse,164,0
Wabasha,NA,NA
Wadena,NA,NA
Waseca,131,0
Washington,800,0
Watonwan,NA,NA
Wilkin,NA,NA
Winona,NA,NA
Wright,336,0
Yellow Medicine,249,1
