"County","Percent with at least one dose by gender group","Percent with completed vaccine series by gender group","Gender","reportedDate","webDate"
"AITKIN","38.3 %","26 %","Female","3/19/2021",2021-03-21
"AITKIN","27.8 %","17.4 %","Male","3/19/2021",2021-03-21
"ANOKA","23.5 %","14 %","Female","3/19/2021",2021-03-21
"ANOKA","14 %","7.2 %","Male","3/19/2021",2021-03-21
"BECKER","33.8 %","21.2 %","Female","3/19/2021",2021-03-21
"BECKER","24.9 %","13.6 %","Male","3/19/2021",2021-03-21
"BELTRAMI","34.1 %","21.9 %","Female","3/19/2021",2021-03-21
"BELTRAMI","26.5 %","14.9 %","Male","3/19/2021",2021-03-21
"BENTON","20.3 %","14.5 %","Female","3/19/2021",2021-03-21
"BENTON","12 %","7.3 %","Male","3/19/2021",2021-03-21
"BIG STONE","46.8 %","36 %","Female","3/19/2021",2021-03-21
"BIG STONE","34.8 %","22.1 %","Male","3/19/2021",2021-03-21
"BLUE EARTH","30.9 %","20.6 %","Female","3/19/2021",2021-03-21
"BLUE EARTH","19.6 %","11.1 %","Male","3/19/2021",2021-03-21
"BROWN","37.7 %","21.5 %","Female","3/19/2021",2021-03-21
"BROWN","25.3 %","10.5 %","Male","3/19/2021",2021-03-21
"CARLTON","40.7 %","26.9 %","Female","3/19/2021",2021-03-21
"CARLTON","28.8 %","17.5 %","Male","3/19/2021",2021-03-21
"CARVER","27.1 %","17.8 %","Female","3/19/2021",2021-03-21
"CARVER","16.6 %","9.3 %","Male","3/19/2021",2021-03-21
"CASS","28.8 %","18.6 %","Female","3/19/2021",2021-03-21
"CASS","23.2 %","14.1 %","Male","3/19/2021",2021-03-21
"CHIPPEWA","34.4 %","23.1 %","Female","3/19/2021",2021-03-21
"CHIPPEWA","24.7 %","14.5 %","Male","3/19/2021",2021-03-21
"CHISAGO","27.8 %","17.4 %","Female","3/19/2021",2021-03-21
"CHISAGO","16.5 %","8.8 %","Male","3/19/2021",2021-03-21
"CLAY","27 %","15.3 %","Female","3/19/2021",2021-03-21
"CLAY","17.7 %","8.6 %","Male","3/19/2021",2021-03-21
"CLEARWATER","30.9 %","21.6 %","Female","3/19/2021",2021-03-21
"CLEARWATER","22.3 %","13.2 %","Male","3/19/2021",2021-03-21
"COOK","54.3 %","42.6 %","Female","3/19/2021",2021-03-21
"COOK","48.4 %","37 %","Male","3/19/2021",2021-03-21
"COTTONWOOD","34.7 %","24.3 %","Female","3/19/2021",2021-03-21
"COTTONWOOD","26.8 %","16.3 %","Male","3/19/2021",2021-03-21
"CROW WING","30.7 %","20.5 %","Female","3/19/2021",2021-03-21
"CROW WING","21.8 %","13.6 %","Male","3/19/2021",2021-03-21
"DAKOTA","28.5 %","17.3 %","Female","3/19/2021",2021-03-21
"DAKOTA","17.8 %","9.1 %","Male","3/19/2021",2021-03-21
"DODGE","34.5 %","24.7 %","Female","3/19/2021",2021-03-21
"DODGE","22 %","13 %","Male","3/19/2021",2021-03-21
"DOUGLAS","36.2 %","25.9 %","Female","3/19/2021",2021-03-21
"DOUGLAS","23.9 %","15.1 %","Male","3/19/2021",2021-03-21
"FARIBAULT","31.8 %","18.5 %","Female","3/19/2021",2021-03-21
"FARIBAULT","22.6 %","10.5 %","Male","3/19/2021",2021-03-21
"FILLMORE","42.9 %","29.2 %","Female","3/19/2021",2021-03-21
"FILLMORE","27.3 %","15.5 %","Male","3/19/2021",2021-03-21
"FREEBORN","32.5 %","18.6 %","Female","3/19/2021",2021-03-21
"FREEBORN","22.6 %","9.6 %","Male","3/19/2021",2021-03-21
"GOODHUE","36.3 %","20.8 %","Female","3/19/2021",2021-03-21
"GOODHUE","24.5 %","11.6 %","Male","3/19/2021",2021-03-21
"GRANT","36.4 %","26.3 %","Female","3/19/2021",2021-03-21
"GRANT","25.6 %","15.9 %","Male","3/19/2021",2021-03-21
"HENNEPIN","29.1 %","18.1 %","Female","3/19/2021",2021-03-21
"HENNEPIN","19.8 %","11 %","Male","3/19/2021",2021-03-21
"HOUSTON","42.1 %","30 %","Female","3/19/2021",2021-03-21
"HOUSTON","27.8 %","17.8 %","Male","3/19/2021",2021-03-21
"HUBBARD","29.4 %","17.6 %","Female","3/19/2021",2021-03-21
"HUBBARD","22.1 %","12.2 %","Male","3/19/2021",2021-03-21
"ISANTI","21.9 %","11.9 %","Female","3/19/2021",2021-03-21
"ISANTI","12.7 %","5.6 %","Male","3/19/2021",2021-03-21
"ITASCA","34 %","22.6 %","Female","3/19/2021",2021-03-21
"ITASCA","25.2 %","14.9 %","Male","3/19/2021",2021-03-21
"JACKSON","30.2 %","18.5 %","Female","3/19/2021",2021-03-21
"JACKSON","23 %","11 %","Male","3/19/2021",2021-03-21
"KANABEC","25.6 %","15.6 %","Female","3/19/2021",2021-03-21
