"Organization Name","System","LTC Vaccinator","Within 7-days (7-day average)","100% for the 7-day goal (number of doses)","As-of Date","webDate"
"State Total","Total","","92 %",1908981,"3/19/2021",2021-03-21
"Pharmacies Total","Pharmacies","","97 %",392892,"3/19/2021",2021-03-21
"Local hospitals, health care providers  Total","Local hospitals, health care providers","","99 %",173395,"3/19/2021",2021-03-21
"Federally Qualified Health Centers Total","Federally Qualified Health Centers","","93 %",43733,"3/19/2021",2021-03-21
"Local Public Health Total","Local Public Health","","97 %",293595,"3/19/2021",2021-03-21
"Health Care Systems Total","Health Care Systems","","100 %",661248,"3/19/2021",2021-03-21
"State of Minnesota Total","State of Minnesota","","100 %",187804,"3/19/2021",2021-03-21
"Tribal Total","Tribal","","100 %",31198,"3/19/2021",2021-03-21
"A and E Pharmacy","Pharmacies","Yes","100 %",18286,"3/19/2021",2021-03-21
"A and S Drugs","Pharmacies","0","100 %",230,"3/19/2021",2021-03-21
"Access Health Windom","Federally Qualified Health Centers","0","100 %",113,"3/19/2021",2021-03-21
"Aitkin County Health and Human Services","Local Public Health","0","100 %",1757,"3/19/2021",2021-03-21
"Allergy & Asthma Center of Minnesota","Local hospitals, health care providers","0","100 %",300,"3/19/2021",2021-03-21
"Allergy, Asthma & Pulmonary Associates","Local hospitals, health care providers","0","100 %",129,"3/19/2021",2021-03-21
"Allina","Health Care Systems","0","100 %",95214,"3/19/2021",2021-03-21
"Alomere Health","Local hospitals, health care providers","0","100 %",4769,"3/19/2021",2021-03-21
"Altru Health System","Local hospitals, health care providers","0","100 %",943,"3/19/2021",2021-03-21
"Anoka County Community Health","Local Public Health","Yes","100 %",9323,"3/19/2021",2021-03-21
"Appleton Area Health Services","Local hospitals, health care providers","0","100 %",1090,"3/19/2021",2021-03-21
"Assured Health - Brooklyn Park","Local hospitals, health care providers","0","100 %",357,"3/19/2021",2021-03-21
"Avera Health","Local hospitals, health care providers","Yes","100 %",6483,"3/19/2021",2021-03-21
"Axis Medical Center","Federally Qualified Health Centers","0","87 %",3416,"3/19/2021",2021-03-21
"Becker County Human Services","Local Public Health","0","100 %",1415,"3/19/2021",2021-03-21
"Beltrami County Health and Human Services","Local Public Health","Yes","100 %",4009,"3/19/2021",2021-03-21
"Benton County Public Health","Local Public Health","Yes","100 %",1578,"3/19/2021",2021-03-21
"Bigfork Valley Hospital","Local hospitals, health care providers","0","100 %",993,"3/19/2021",2021-03-21
"Bloomington Public Health","Local Public Health","0","100 %",5713,"3/19/2021",2021-03-21
"Blue Earth County Public Health","Local Public Health","0","100 %",3349,"3/19/2021",2021-03-21
"Bluestone Physician Services, P.A.","Local hospitals, health care providers","Yes","100 %",6038,"3/19/2021",2021-03-21
"Brown County Public Health","Local Public Health","Yes","100 %",2975,"3/19/2021",2021-03-21
"CARE Clinic","Local hospitals, health care providers","0","100 %",54,"3/19/2021",2021-03-21
"Carlson Drug Inc.","Pharmacies","0","100 %",100,"3/19/2021",2021-03-21
"Carlton County Public Health","Local Public Health","Yes","100 %",2541,"3/19/2021",2021-03-21
"Carver County Health and Human Services","Local Public Health","0","100 %",12070,"3/19/2021",2021-03-21
"Casey Drug","Pharmacies","Yes","100 %",1028,"3/19/2021",2021-03-21
"Cass County Health, Human and Veteran's Services, Public Health Div","Local Public Health","0","100 %",1857,"3/19/2021",2021-03-21
"Cedar Riverside Peoples Center","Federally Qualified Health Centers","0","74 %",4068,"3/19/2021",2021-03-21
"CentraCare","Health Care Systems","Yes","100 %",65640,"3/19/2021",2021-03-21
"CHI Lakewood Health","Local hospitals, health care providers","0","100 %",937,"3/19/2021",2021-03-21
"CHI St. Francis Health","Local hospitals, health care providers","0","100 %",555,"3/19/2021",2021-03-21
"CHI St. Gabriels Health","Local hospitals, health care providers","0","91 %",4535,"3/19/2021",2021-03-21
"Children's Hospital and Clinics of MN","Health Care Systems","0","91 %",14189,"3/19/2021",2021-03-21
"Chisago County Public Health Dept","Local Public Health","Yes","100 %",3878,"3/19/2021",2021-03-21
"Clay County Public Health","Local Public Health","0","100 %",7458,"3/19/2021",2021-03-21
"Clearwater County Nursing Service","Local Public Health","0","100 %",1157,"3/19/2021",2021-03-21
"Coborn's","Pharmacies","Yes","100 %",2995,"3/19/2021",2021-03-21
"Community Health Services","Federally Qualified Health Centers","0","96 %",575,"3/19/2021",2021-03-21
"Community Memorial Hospital - Cloquet","Local hospitals, health care providers","0","100 %",2629,"3/19/2021",2021-03-21
"Community University Health Care Center (CUHCC)","Federally Qualified Health Centers","0","97 %",2225,"3/19/2021",2021-03-21
"Cook Hospital","Local hospitals, health care providers","Yes","100 %",837,"3/19/2021",2021-03-21
"Countryside Public Health Service","Local Public Health","Yes","99 %",4734,"3/19/2021",2021-03-21
"Cromwell Medical Clinic","Local hospitals, health care providers","0","100 %",327,"3/19/2021",2021-03-21
"Crow Wing County Community Services-Health Division","Local Public Health","0","100 %",2305,"3/19/2021",2021-03-21
"Cuyuna Regional Medical Center","Local hospitals, health care providers","Yes","100 %",4212,"3/19/2021",2021-03-21
"CVS","Pharmacies","Yes","97 %",88496,"3/19/2021",2021-03-21
"Dakota County Public Health Department","Local Public Health","Yes","100 %",10612,"3/19/2021",2021-03-21
"Davita","Local hospitals, health care providers","0","100 %",5289,"3/19/2021",2021-03-21
"Des Moines Valley Health and Human Services","Local Public Health","0","100 %",2453,"3/19/2021",2021-03-21
"Dodge County Public Health Department","Local Public Health","Yes","100 %",2257,"3/19/2021",2021-03-21
"Dulcimer Medical Center PA","Local hospitals, health care providers","0","100 %",729,"3/19/2021",2021-03-21
"Edina Sports and Family Medicine","Local hospitals, health care providers","0","100 %",650,"3/19/2021",2021-03-21
"Elko New Market Family Pharmacy","Pharmacies","0","100 %",110,"3/19/2021",2021-03-21
"Ely Bloomenson Community Hospital","Local hospitals, health care providers","0","100 %",1561,"3/19/2021",2021-03-21
"Entira Family Clinics","Local hospitals, health care providers","0","100 %",5415,"3/19/2021",2021-03-21
"Essentia Health","Health Care Systems","Yes","100 %",48640,"3/19/2021",2021-03-21
"Eventide Senior Living Community","Local hospitals, health care providers","Yes","98 %",1114,"3/19/2021",2021-03-21
"Falk's Nursing Service Pharmacy","Pharmacies","Yes","100 %",4805,"3/19/2021",2021-03-21
"Family Fare Pharmacy","Pharmacies","0","100 %",266,"3/19/2021",2021-03-21
"Faribault Martin County Human Services","Local Public Health","0","100 %",1945,"3/19/2021",2021-03-21
"Fillmore County Public Health Department","Local Public Health","Yes","100 %",3252,"3/19/2021",2021-03-21
"France Avenue Family Physicians","Local hospitals, health care providers","0","100 %",533,"3/19/2021",2021-03-21
"Freeborn County Public Health Department","Local Public Health","0","100 %",1879,"3/19/2021",2021-03-21
"Fresenius","Local hospitals, health care providers","0","100 %",4300,"3/19/2021",2021-03-21
"Gateway Family Health Clinic","Local hospitals, health care providers","0","100 %",920,"3/19/2021",2021-03-21
"Genoa Health Care","Local hospitals, health care providers","0","100 %",1839,"3/19/2021",2021-03-21
"Geritom Medical, Inc.","Pharmacies","Yes","89 %",13702,"3/19/2021",2021-03-21
"Gillette Children's Specialty Healthcare - St. Paul Campus","Local hospitals, health care providers","0","76 %",2919,"3/19/2021",2021-03-21
"Glacial Ridge Health System","Local hospitals, health care providers","0","100 %",2045,"3/19/2021",2021-03-21
"Glencoe Regional Health Services","Local hospitals, health care providers","0","100 %",1704,"3/19/2021",2021-03-21
"Goodhue County Public Health Service","Local Public Health","0","100 %",3196,"3/19/2021",2021-03-21
"Goodrich Pharmacy","Pharmacies","Yes","100 %",2344,"3/19/2021",2021-03-21
"Guardian Pharmacy Of Minnesota","Pharmacies","Yes","98 %",1661,"3/19/2021",2021-03-21
"GuidePoint Pharmacy","Pharmacies","0","100 %",5359,"3/19/2021",2021-03-21
"Gundersen St. Elzabeth's Hospitals and Clinics","Local hospitals, health care providers","0","100 %",1247,"3/19/2021",2021-03-21
"HealthPartners / Park Nicollet","Health Care Systems","0","100 %",100592,"3/19/2021",2021-03-21
"Hendricks Community Hospital Association","Local hospitals, health care providers","0","100 %",1451,"3/19/2021",2021-03-21
"Hennepin Co./Minneapolis/MVNA Public Health Partnership","Local Public Health","Yes","83 %",48771,"3/19/2021",2021-03-21
"Hennepin Healthcare","Health Care Systems","Yes","100 %",29902,"3/19/2021",2021-03-21
"Horizon Public Health","Local Public Health","Yes","100 %",4386,"3/19/2021",2021-03-21
"Houston County Public Health Department","Local Public Health","0","100 %",2374,"3/19/2021",2021-03-21
"Hunt Silver Lake Pharmacy","Pharmacies","0","100 %",2569,"3/19/2021",2021-03-21
"Hy-Vee Pharmacy","Pharmacies","Yes","100 %",24073,"3/19/2021",2021-03-21
"Inter-County Nursing Service","Local Public Health","0","100 %",688,"3/19/2021",2021-03-21
"Isanti County Public Health","Local Public Health","0","100 %",3524,"3/19/2021",2021-03-21
"Itasca County Public Health","Local Public Health","Yes","100 %",2849,"3/19/2021",2021-03-21
"Iverson Corner Drug","Pharmacies","0","100 %",587,"3/19/2021",2021-03-21
"Johnson Memorial Health Services","Local hospitals, health care providers","0","100 %",438,"3/19/2021",2021-03-21
"Jon's Drug - Eveleth","Pharmacies","0","100 %",200,"3/19/2021",2021-03-21
"Kanabec County Community Health","Local Public Health","Yes","99 %",1327,"3/19/2021",2021-03-21
"Kandiyohi County Public Health","Local Public Health","Yes","100 %",2573,"3/19/2021",2021-03-21
"Keaveny Drug - Winsted","Pharmacies","Yes","100 %",1129,"3/19/2021",2021-03-21
"Kemper Corner Drug","Pharmacies","0","100 %",606,"3/19/2021",2021-03-21
"Kittson Healthcare","Local hospitals, health care providers","Yes","100 %",1235,"3/19/2021",2021-03-21
"Koochiching County Public Health","Local Public Health","Yes","100 %",1027,"3/19/2021",2021-03-21
"Lake County Health and Human Services","Local Public Health","0","100 %",609,"3/19/2021",2021-03-21
"Madelia Hopital and Clinic","Local hospitals, health care providers","0","100 %",859,"3/19/2021",2021-03-21
"Lake Region Health Care","Local hospitals, health care providers","0","99 %",5933,"3/19/2021",2021-03-21
"Lake Superior Community Health Center","Federally Qualified Health Centers","0","100 %",905,"3/19/2021",2021-03-21
"Lakeview Clinic","Local hospitals, health care providers","0","100 %",3817,"3/19/2021",2021-03-21
"Lakewood Health System","Local hospitals, health care providers","0","100 %",3119,"3/19/2021",2021-03-21
"Le Sueur County Public Health","Local Public Health","0","100 %",2198,"3/19/2021",2021-03-21
"Lewis Family Drug","Pharmacies","Yes","100 %",880,"3/19/2021",2021-03-21
"Lifecare Public Health – Roseau County","Local Public Health","Yes","100 %",3116,"3/19/2021",2021-03-21
"Lloyd's Pharmacy","Pharmacies","0","99 %",143,"3/19/2021",2021-03-21
"M Health Fairview","Health Care Systems","Yes","100 %",134843,"3/19/2021",2021-03-21
"Mackenthun Beck Pharmacy Inc.","Pharmacies","0","100 %",276,"3/19/2021",2021-03-21
"Madison Health Care Services","Local hospitals, health care providers","0","100 %",1064,"3/19/2021",2021-03-21
"Mahnomen Health Center","Local hospitals, health care providers","0","100 %",70,"3/19/2021",2021-03-21
"Mankato Clinic","Local hospitals, health care providers","0","100 %",2219,"3/19/2021",2021-03-21
