"","hospital_pk","collection_week","state","ccn","hospital_name","address","city","zip","hospital_subtype","fips_code","is_metro_micro","total_beds_7_day_avg","all_adult_hospital_beds_7_day_avg","all_adult_hospital_inpatient_beds_7_day_avg","inpatient_beds_used_7_day_avg","all_adult_hospital_inpatient_bed_occupied_7_day_avg","total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg","total_adult_patients_hospitalized_confirmed_covid_7_day_avg","total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg","total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg","inpatient_beds_7_day_avg","total_icu_beds_7_day_avg","total_staffed_adult_icu_beds_7_day_avg","icu_beds_used_7_day_avg","staffed_adult_icu_bed_occupancy_7_day_avg","staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg","staffed_icu_adult_patients_confirmed_covid_7_day_avg","total_patients_hospitalized_confirmed_influenza_7_day_avg","icu_patients_confirmed_influenza_7_day_avg","total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg","total_beds_7_day_sum","all_adult_hospital_beds_7_day_sum","all_adult_hospital_inpatient_beds_7_day_sum","inpatient_beds_used_7_day_sum","all_adult_hospital_inpatient_bed_occupied_7_day_sum","total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum","total_adult_patients_hospitalized_confirmed_covid_7_day_sum","total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum","total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum","inpatient_beds_7_day_sum","total_icu_beds_7_day_sum","total_staffed_adult_icu_beds_7_day_sum","icu_beds_used_7_day_sum","staffed_adult_icu_bed_occupancy_7_day_sum","staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum","staffed_icu_adult_patients_confirmed_covid_7_day_sum","total_patients_hospitalized_confirmed_influenza_7_day_sum","icu_patients_confirmed_influenza_7_day_sum","total_patients_hospitalized_confirmed_influenza_and_covid_7_day_sum","total_beds_7_day_coverage","all_adult_hospital_beds_7_day_coverage","all_adult_hospital_inpatient_beds_7_day_coverage","inpatient_beds_used_7_day_coverage","all_adult_hospital_inpatient_bed_occupied_7_day_coverage","total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage","total_adult_patients_hospitalized_confirmed_covid_7_day_coverage","total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage","total_pediatric_patients_hospitalized_confirmed_covid_7_day_coverage","inpatient_beds_7_day_coverage","total_icu_beds_7_day_coverage","total_staffed_adult_icu_beds_7_day_coverage","icu_beds_used_7_day_coverage","staffed_adult_icu_bed_occupancy_7_day_coverage","staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_coverage","staffed_icu_adult_patients_confirmed_covid_7_day_coverage","total_patients_hospitalized_confirmed_influenza_7_day_coverage","icu_patients_confirmed_influenza_7_day_coverage","total_patients_hospitalized_confirmed_influenza_and_covid_7_day_coverage","previous_day_admission_adult_covid_confirmed_7_day_sum","previous_day_admission_adult_covid_confirmed_18_19_7_day_sum","previous_day_admission_adult_covid_confirmed_20_29_7_day_sum","previous_day_admission_adult_covid_confirmed_30_39_7_day_sum","previous_day_admission_adult_covid_confirmed_40_49_7_day_sum","previous_day_admission_adult_covid_confirmed_50","previous_day_admission_adult_covid_confirmed_60","previous_day_admission_adult_covid_confirmed_70","previous_day_admission_adult_covid_confirmed_80","previous_day_admission_adult_covid_confirmed_unknown_7_day_sum","previous_day_admission_pediatric_covid_confirmed_7_day_sum","previous_day_covid_ed_visits_7_day_sum","previous_day_admission_adult_covid_suspected_7_day_sum","previous_day_admission_adult_covid_suspected_18","previous_day_admission_adult_covid_suspected_20","previous_day_admission_adult_covid_suspected_30","previous_day_admission_adult_covid_suspected_40","previous_day_admission_adult_covid_suspected_50","previous_day_admission_adult_covid_suspected_60","previous_day_admission_adult_covid_suspected_70_79_7_day_sum","previous_day_admission_adult_covid_suspected_80","previous_day_admission_adult_covid_suspected_unknown_7_day_sum","previous_day_admission_pediatric_covid_suspected_7_day_sum","previous_day_total_ed_visits_7_day_sum","previous_day_admission_influenza_confirmed_7_day_sum","geocoded_hospital_address"
"1","976b4ce7c95e1cd394112ce7762ed040f18a141e56a52ef9d3e5775ed9e98e1e","2021-03-05T00:00:00.000","PR","","Hospital Industrial C.F.S.E","Paseo Dr. Jose Celso Barbosa","San Juan",935,"Short Term",NA,"false",271,48.8,48.8,13.5,13.5,0,0,0,0,48.8,4.2,4.2,0,0,0,0,0,0,0,1626,293,293,81,81,0,0,0,0,293,25,25,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"2","f70d7abf93c78280583ac18e896e6737cca8212b017513ffdcf3f4de52d49be4","2021-03-05T00:00:00.000","NV","","Elite Medical Center","150 E Harmon Ave","Las Vegas",89109,"Short Term",NA,"false",37,37,5,-999999,-999999,0,0,0,0,5,0,0,0,0,0,0,0,0,0,259,259,35,-999999,-999999,0,0,0,0,35,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,"POINT (-115.165444 36.10808)"
"3","9922a3f069ff4686fe467885206fb1172f609233cfe517f5de214545d2458253","2021-03-05T00:00:00.000","PR","","Centro Medico Correccional de Bayamon","","",960,"Short Term",NA,"false",96,87,87,41.7,41.7,7.2,7.2,0,0,87,0,0,0,0,0,0,0,0,0,576,522,522,250,250,43,43,0,0,522,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,0,-999999,4,0,-999999,-999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POINT (-66.158248 18.398847)"
"4","ee04edd185865c38c839812cb2eb5ae5d3f8922e3b629ee98c7d9424a37826c4","2021-03-05T00:00:00.000","LA","","Alexandria Emergency Hospital","5900 Coliseum Blvd","Alexandria",71303,"Short Term",NA,"false",14,12,12,-999999,-999999,0,0,0,0,14,0,0,0,0,0,0,0,0,0,98,84,84,21,21,0,0,0,0,98,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POINT (-92.51048 31.295636)"
"5","aab2bb3ab769da90baf57242c96ec481afb5ec6a2337848975e2451909a544a5","2021-03-05T00:00:00.000","LA","","Crescent City Surgical Centre","","",70118,"Short Term",NA,"false",10,10,10,6.4,6.4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,70,70,70,45,45,0,0,0,0,70,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POINT (-90.123884 29.949725)"
"6","ff9032c172057190bf52f523d253c79af2d5f74d007084e83bb0995c637403d1","2021-03-05T00:00:00.000","PR","","HealthproMed","","",775,"Short Term",NA,"false",6,4,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,36,24,24,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,"POINT (-65.293435 18.311001)"
"7","3b081d5ef1c552538e4af4aa593a857bb922a4f364a412e69f912f826ae12879","2021-03-05T00:00:00.000","LA","","Surgery Center of Zachary","","",70791,"Short Term",NA,"false",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POINT (-91.145057 30.655648)"
"8","df2363988746840134806aa7b2accf9c89259601776986d49f0c579f6d84532e","2021-03-05T00:00:00.000","PR","","Hospital San Antonio","#18 Norte, Calle Dr","Mayagüez",680,"Short Term",NA,"false",75,38.7,38.7,18.7,13.8,-999999,-999999,-999999,0,58.5,13.3,4.3,4.8,-999999,0,0,0,0,0,450,232,232,112,83,4,4,-999999,0,351,80,26,29,9,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-999999,0,-999999,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,-999999,153,0,""
"9","36db6bad3679dfdcccc301fc608438109ad907943c702fb3d57dc50cb7b5ba0b","2021-03-05T00:00:00.000","PR","","CDT Susana Centeno","","",765,"Short Term",NA,"false",7,5,5,-999999,-999999,0,0,0,0,7,0,0,0,0,0,0,0,0,0,42,30,30,-999999,-999999,0,0,0,0,42,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,"POINT (-66.414655 18.215692)"
"10","452122","2021-03-05T00:00:00.000","TX","452122","El Paso LTAC Hospital","","",79902,"Long Term",NA,"false",30,30,30,16.9,16.9,6.1,6.1,0,0,30,0,0,0,0,0,0,0,0,6.1,210,210,210,118,118,43,43,0,0,210,0,0,0,0,0,0,0,0,43,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,0,0,-999999,-999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POINT (-106.49529 31.778622)"
