"","Zip Code","City","County"
"1","55001","Afton","Washington"
"2","55002","Almelund","Chisago"
"3","55003","Bayport","Washington"
"4","55005","Bethel","Anoka"
"5","55006","Braham","Isanti"
"6","55007","Brook Park","Pine"
"7","55008","Cambridge","Isanti"
"8","55009","Cannon Falls","Goodhue"
"9","55010","Castle Rock","Dakota"
"10","55011","Cedar","Anoka"
"11","55012","Center City","Chisago"
"12","55013","Chisago City","Chisago"
"13","55014","Circle Pines","Anoka"
"14","55016","Cottage Grove","Washington"
"15","55017","Dalbo","Isanti"
"16","55018","Dennison","Goodhue"
"17","55019","Dundas","Rice"
"18","55020","Elko","Scott"
"19","55021","Faribault","Rice"
"20","55024","Farmington","Dakota"
"21","55025","Forest Lake","Washington"
"22","55026","Frontenac","Goodhue"
"23","55027","Goodhue","Goodhue"
"24","55029","Grandy","Isanti"
"25","55030","Grasston","Pine"
"26","55031","Hampton","Dakota"
"27","55032","Harris","Chisago"
"28","55033","Hastings","Dakota"
"29","55036","Henriette","Pine"
"30","55037","Hinckley","Pine"
"31","55038","Hugo","Washington"
"32","55040","Isanti","Isanti"
"33","55041","Lake City","Wabasha"
"34","55042","Lake Elmo","Washington"
"35","55043","Lakeland","Washington"
"36","55044","Lakeville","Dakota"
"37","55045","Lindstrom","Chisago"
"38","55046","Lonsdale","Rice"
"39","55047","Marine On Saint Croix","Washington"
"40","55049","Medford","Steele"
"41","55051","Mora","Kanabec"
"42","55052","Morristown","Rice"
"43","55053","Nerstrand","Rice"
"44","55054","New Market","Scott"
"45","55055","Newport","Washington"
"46","55056","North Branch","Chisago"
"47","55057","Northfield","Rice"
"48","55060","Owatonna","Steele"
"49","55063","Pine City","Pine"
"50","55065","Randolph","Dakota"
"51","55066","Red Wing","Goodhue"
"52","55067","Rock Creek","Pine"
"53","55068","Rosemount","Dakota"
"54","55069","Rush City","Chisago"
"55","55070","Saint Francis","Anoka"
"56","55071","Saint Paul Park","Washington"
"57","55072","Sandstone","Pine"
"58","55073","Scandia","Washington"
"59","55074","Shafer","Chisago"
"60","55075","South Saint Paul","Dakota"
"61","55076","Inver Grove Heights","Dakota"
"62","55077","Inver Grove Heights","Dakota"
