"","fips","county","state","fema_region","date","cases_last_7_days","cases_per_100k_last_7_days","total_cases","cases_pct_change_from_prev_week","deaths_last_7_days","deaths_per_100k_last_7_days","total_deaths","deaths_pct_change_from_prev_week","test_positivity_rate_last_7_days","total_positive_tests_last_7_days","total_tests_last_7_days","total_tests_per_100k_last_7_days","test_positivity_rate_pct_change_from_prev_week","total_tests_pct_change_from_prev_week","confirmed_covid_hosp_last_7_days","confirmed_covid_hosp_per_100_beds_last_7_days","confirmed_covid_hosp_per_100_beds_pct_change_from_prev_week","suspected_covid_hosp_last_7_days","suspected_covid_hosp_per_100_beds_last_7_days","suspected_covid_hosp_per_100_beds_pct_change_from_prev_week","pct_inpatient_beds_used_avg_last_7_days","pct_inpatient_beds_used_abs_change_from_prev_week","pct_inpatient_beds_used_covid_avg_last_7_days","pct_inpatient_beds_used_covid_abs_change_from_prev_week","pct_icu_beds_used_avg_last_7_days","pct_icu_beds_used_abs_change_from_prev_week","pct_icu_beds_used_covid_avg_last_7_days","pct_icu_beds_used_covid_abs_change_from_prev_week","pct_vents_used_avg_last_7_days","pct_vents_used_abs_change_from_prev_week","pct_vents_used_covid_avg_last_7_days","pct_vents_used_covid_abs_change_from_prev_week"
"1",36047,"Kings County, NY","NY","Region 2","2021-03-18T00:00:00.000",7318,285.87,229782,-0.096,144,5.625,9452,0.333,0.057,8997,155484,6073.824,0.002,-0.041,438,10.146,-0.029,196,4.54,0.278,0.729,0.009,0.133,-0.006,0.803,-0.036,0.243,-0.028,0.268,-0.004,0.045,-0.009
"2",12086,"Miami-Dade County, FL","FL","Region 4","2021-03-18T00:00:00.000",7228,266.035,430942,-0.06,91,3.349,5710,-0.157,0.097,12208,129022,4748.798,0,-0.048,576,9.444,0.036,199,3.263,0.165,0.844,0.016,0.095,0.003,0.847,0.034,0.174,-0.006,0.291,-0.003,0.065,-0.004
"3",36081,"Queens County, NY","NY","Region 2","2021-03-18T00:00:00.000",7115,315.681,229594,-0.061,105,4.659,9102,-0.245,0.08,11951,143165,6351.997,0.006,-0.101,504,13.301,0.084,142,3.747,-0.074,0.814,-0.011,0.178,0.005,0.675,0.014,0.325,-0.002,0.417,0.001,0.14,0
"4",48201,"Harris County, TX","TX","Region 6","2021-03-18T00:00:00.000",5497,116.627,368213,-0.126,161,3.416,5562,-0.148,0.075,3310,70871,1503.631,-0.005,-0.143,874,7.125,0.039,700,5.706,0.009,0.816,-0.006,0.099,-0.006,0.836,-0.013,0.215,-0.017,0.426,-0.025,0.082,-0.002
"5",17031,"Cook County, IL","IL","Region 5","2021-03-18T00:00:00.000",4670,90.676,485771,0.095,50,0.971,9544,-0.351,0.032,3898,124237,2412.26,0.003,0.04,406,2.841,0.075,1187,8.306,0.035,0.699,0.006,0.034,-0.001,0.632,-0.006,0.064,0.001,0.258,-0.003,0.019,-0.003
"6",6037,"Los Angeles County, CA","CA","Region 9","2021-03-18T00:00:00.000",4624,46.06,1212648,-0.53,347,3.456,22666,-0.356,0.017,3293,308056,3068.56,-0.004,0.129,782,4.42,-0.033,901,5.092,0.181,0.719,-0.008,0.052,-0.013,0.711,-0.015,0.112,-0.035,0.274,-0.017,0.044,-0.015
"7",36103,"Suffolk County, NY","NY","Region 2","2021-03-18T00:00:00.000",4557,308.614,173321,0.079,40,2.709,3185,0,0.053,3281,59936,4059.052,0,-0.049,307,10.363,0.065,172,5.806,0.803,0.768,0.023,0.131,0.005,0.67,0.028,0.191,-0.017,0.272,0.01,0.092,-0.009
"8",36059,"Nassau County, NY","NY","Region 2","2021-03-18T00:00:00.000",4534,334.138,159401,0.047,26,1.916,3000,-0.333,0.055,3753,67118,4946.335,0,-0.077,288,9.14,0.263,32,1.016,-0.135,0.734,0.012,0.112,0.001,0.588,0.008,0.187,0,0.26,-0.044,0.074,-0.006
"9",12011,"Broward County, FL","FL","Region 4","2021-03-18T00:00:00.000",4216,215.898,206185,-0.048,52,2.663,2572,-0.416,0.099,5848,63301,3241.587,-0.005,-0.041,452,10.031,-0.008,132,2.929,-0.186,0.788,0.004,0.106,-0.006,0.802,-0.01,0.212,0.011,0.369,0.001,0.09,-0.003
"10",36005,"Bronx County, NY","NY","Region 2","2021-03-18T00:00:00.000",4032,284.303,155544,-0.186,87,6.135,6091,0.036,0.066,4863,72757,5130.21,-0.004,-0.075,286,7.248,-0.318,21,0.532,-0.666,0.736,-0.018,0.127,-0.018,0.819,-0.026,0.319,-0.039,0.294,-0.012,0.089,-0.013
"11",48215,"Hidalgo County, TX","TX","Region 6","2021-03-18T00:00:00.000",3622,416.942,83259,2.098,24,2.763,2727,-0.351,0.089,338,5466,629.211,0.011,-0.187,116,4.779,-0.011,150,6.18,0.228,0.496,-0.007,0.067,0.002,0.577,-0.013,0.196,-0.02,0.27,-0.027,0.097,-0.021
"12",36061,"New York County, NY","NY","Region 2","2021-03-18T00:00:00.000",3526,216.491,113144,-0.146,59,3.623,4085,-0.181,0.031,4199,134675,8268.834,-0.001,0.006,781,7.227,-0.052,270,2.499,0.066,0.759,0.003,0.107,-0.008,0.746,0.006,0.209,-0.014,0.287,-0.007,0.087,-0.006
"13",34003,"Bergen County, NJ","NJ","Region 2","2021-03-18T00:00:00.000",3007,322.57,85044,0.112,20,2.145,2682,-0.394,0.088,3006,38162,4093.748,0.003,-0.021,193,7.753,-0.054,163,6.548,-0.212,0.727,0.009,0.089,-0.003,0.45,0.015,0.162,0.002,0.358,-0.005,0.093,-0.002
"14",26163,"Wayne County, MI","MI","Region 5","2021-03-18T00:00:00.000",2947,168.463,107988,0.418,16,0.915,4201,-0.515,0.066,2160,33809,1932.668,0.02,-0.042,186,4.131,0.112,132,2.932,0.108,0.794,0.011,0.044,0.007,0.765,0.038,0.073,0,0.304,0.022,0.027,0.002
"15",36119,"Westchester County, NY","NY","Region 2","2021-03-18T00:00:00.000",2689,277.931,114402,0.005,20,2.067,2159,-0.13,0.054,2796,50308,5199.761,0,-0.108,195,7.512,0.206,129,4.969,0.175,0.684,-0.02,0.082,0,0.577,-0.03,0.146,-0.008,0.285,-0.036,0.059,0
"16",34013,"Essex County, NJ","NJ","Region 2","2021-03-18T00:00:00.000",2532,316.906,79541,0.179,21,2.628,2740,-0.125,0.08,2223,32643,4085.61,0.004,0.088,182,7.173,0.254,157,6.188,-0.124,0.769,0.011,0.088,0.004,0.478,-0.031,0.085,-0.002,0.269,-0.029,0.063,-0.009
"17",34023,"Middlesex County, NJ","NJ","Region 2","2021-03-18T00:00:00.000",2508,303.977,78287,0.232,25,3.03,2171,0,0.081,2387,34434,4173.505,0.008,0.075,146,6.491,-0.197,20,0.889,0.245,0.702,0.01,0.078,-0.003,0.457,0.023,0.097,0.003,0.355,0.023,0.057,-0.001
"18",34025,"Monmouth County, NJ","NJ","Region 2","2021-03-18T00:00:00.000",2498,403.688,63054,0.023,25,4.04,1461,0.667,0.102,2142,24393,3942.016,0.004,0.027,175,10.5,0.328,29,1.74,-0.199,0.785,0.022,0.109,0.012,0.41,-0.026,0.156,0.013,0.309,0.033,0.059,0.005
"19",12099,"Palm Beach County, FL","FL","Region 4","2021-03-18T00:00:00.000",2475,165.356,127111,0.027,59,3.942,2594,0.595,0.076,2543,38221,2553.565,-0.004,0.018,228,6.213,-0.125,46,1.253,-0.309,0.771,-0.01,0.057,-0.013,0.685,-0.019,0.117,-0.024,0.267,-0.025,0.038,-0.01
"20",26125,"Oakland County, MI","MI","Region 5","2021-03-18T00:00:00.000",2428,193.069,79397,0.638,14,1.113,2036,-0.125,0.056,1233,23196,1844.489,0.024,-0.022,187,5.068,0.236,54,1.463,0.808,0.761,0.008,0.041,0.007,0.767,0.027,0.108,0.023,0.194,-0.002,0.022,0.005
"21",25017,"Middlesex County, MA","MA","Region 1","2021-03-18T00:00:00.000",2414,149.78,117031,0.223,39,2.42,3553,-0.152,0.016,2465,161164,9999.634,0.002,-0.028,119,4.424,0.072,106,3.941,0.219,0.797,0.001,0.03,-0.002,0.722,0.019,0.138,0.009,0.182,0.016,0.048,0.002
"22",42101,"Philadelphia County, PA","PA","Region 3","2021-03-18T00:00:00.000",2376,149.994,123959,0.176,55,3.472,3244,1.037,0.053,2300,44011,2778.36,0.011,-0.101,299,5.371,0.351,392,7.042,-0.085,0.822,0.016,0.05,0.007,0.827,0.037,0.065,-0.005,0.298,0.007,0.02,-0.001
"23",12057,"Hillsborough County, FL","FL","Region 4","2021-03-18T00:00:00.000",2316,157.34,117040,0.129,25,1.698,1573,0,0.062,1620,28679,1948.344,-0.002,0.055,274,6.67,-0.02,126,3.067,0.022,0.789,-0.002,0.046,-0.002,0.737,-0.007,0.075,-0.008,0.271,0,0.037,0.004
"24",34017,"Hudson County, NJ","NJ","Region 2","2021-03-18T00:00:00.000",2265,336.858,74909,0.039,22,3.272,2072,-0.241,0.088,1910,23947,3561.469,0.004,-0.036,138,12.768,0.046,18,1.665,1.572,0.711,-0.028,0.123,0.003,0.519,0.02,0.157,0.014,0.215,0.016,0.08,0.022
"25",26099,"Macomb County, MI","MI","Region 5","2021-03-18T00:00:00.000",2261,258.704,63448,0.554,15,1.716,2001,0.154,0.086,1319,15012,1717.675,0.028,0.051,101,8.104,0.591,26,2.086,0.29,0.842,0.031,0.059,0.014,0.774,0.051,0.124,0.049,0.437,0.045,0.054,0.019
"26",6073,"San Diego County, CA","CA","Region 9","2021-03-18T00:00:00.000",2229,66.77,266756,-0.164,56,1.677,3478,-0.111,0.022,1043,65610,1965.354,-0.001,0.326,166,2.877,-0.238,215,3.726,0.005,0.691,-0.017,0.05,-0.012,0.687,-0.03,0.146,-0.03,0.244,-0.021,0.043,-0.014
