"","SUMLEV","STATE","COUNTY","STNAME","CTYNAME","YEAR","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","WAC_MALE","WAC_FEMALE","BAC_MALE","BAC_FEMALE","IAC_MALE","IAC_FEMALE","AAC_MALE","AAC_FEMALE","NAC_MALE","NAC_FEMALE","NH_MALE","NH_FEMALE","NHWA_MALE","NHWA_FEMALE","NHBA_MALE","NHBA_FEMALE","NHIA_MALE","NHIA_FEMALE","NHAA_MALE","NHAA_FEMALE","NHNA_MALE","NHNA_FEMALE","NHTOM_MALE","NHTOM_FEMALE","NHWAC_MALE","NHWAC_FEMALE","NHBAC_MALE","NHBAC_FEMALE","NHIAC_MALE","NHIAC_FEMALE","NHAAC_MALE","NHAAC_FEMALE","NHNAC_MALE","NHNAC_FEMALE","H_MALE","H_FEMALE","HWA_MALE","HWA_FEMALE","HBA_MALE","HBA_FEMALE","HIA_MALE","HIA_FEMALE","HAA_MALE","HAA_FEMALE","HNA_MALE","HNA_FEMALE","HTOM_MALE","HTOM_FEMALE","HWAC_MALE","HWAC_FEMALE","HBAC_MALE","HBAC_FEMALE","HIAC_MALE","HIAC_FEMALE","HAAC_MALE","HAAC_FEMALE","HNAC_MALE","HNAC_FEMALE"
"172",50,27,1,"Minnesota","Aitkin County",10,0,15792,8003,7789,7637,7360,51,38,193,231,20,26,2,3,100,131,7731,7486,87,92,237,286,40,53,11,6,7887,7676,7554,7283,43,30,178,215,20,26,2,3,90,119,7640,7397,75,78,218,266,39,52,8,5,116,113,83,77,8,8,15,16,0,0,0,0,10,12,91,89,12,14,19,20,1,1,3,1
"173",50,27,1,"Minnesota","Aitkin County",10,1,559,275,284,240,255,5,1,19,20,3,0,0,0,8,8,248,263,9,7,21,21,6,2,0,0,265,262,233,241,5,1,16,12,3,0,0,0,8,8,241,249,9,7,18,13,6,2,0,0,10,22,7,14,0,0,3,8,0,0,0,0,0,0,7,14,0,0,3,8,0,0,0,0
"174",50,27,1,"Minnesota","Aitkin County",10,2,779,436,343,387,286,7,5,25,29,3,3,0,0,14,20,401,304,15,17,28,33,6,9,1,1,420,334,380,280,4,4,20,28,3,3,0,0,13,19,393,297,11,15,23,32,6,9,1,1,16,9,7,6,3,1,5,1,0,0,0,0,1,1,8,7,4,2,5,1,0,0,0,0
"175",50,27,1,"Minnesota","Aitkin County",10,3,853,442,411,415,363,1,6,16,22,0,4,0,0,10,16,425,379,6,15,18,24,3,9,0,0,432,403,407,357,1,5,15,22,0,4,0,0,9,15,416,372,6,14,16,24,3,8,0,0,10,8,8,6,0,1,1,0,0,0,0,0,1,1,9,7,0,1,2,0,0,1,0,0
"176",50,27,1,"Minnesota","Aitkin County",10,4,704,360,344,333,308,3,3,13,19,0,0,0,0,11,14,343,321,11,9,14,25,2,3,1,0,350,331,325,299,1,2,13,18,0,0,0,0,11,12,335,310,9,7,14,23,2,3,1,0,10,13,8,9,2,1,0,1,0,0,0,0,0,2,8,11,2,2,0,2,0,0,0,0
"177",50,27,1,"Minnesota","Aitkin County",10,5,595,295,300,267,267,5,6,18,18,0,1,0,0,5,8,272,275,6,10,21,20,1,3,0,0,287,292,264,265,4,3,15,17,0,1,0,0,4,6,268,271,4,5,18,19,1,3,0,0,8,8,3,2,1,3,3,1,0,0,0,0,1,2,4,4,2,5,3,1,0,0,0,0
"178",50,27,1,"Minnesota","Aitkin County",10,6,548,276,272,263,232,3,4,5,21,1,4,0,0,4,11,267,243,3,7,7,26,2,6,1,1,267,261,254,226,3,4,5,19,1,4,0,0,4,8,258,234,3,6,7,23,2,6,1,0,9,11,9,6,0,0,0,2,0,0,0,0,0,3,9,9,0,1,0,3,0,0,0,1
"179",50,27,1,"Minnesota","Aitkin County",10,7,646,313,333,291,301,2,0,10,19,5,4,0,0,5,9,296,310,3,1,13,26,6,5,0,0,310,327,288,296,2,0,10,18,5,4,0,0,5,9,293,305,3,1,13,25,6,5,0,0,3,6,3,5,0,0,0,1,0,0,0,0,0,0,3,5,0,0,0,1,0,0,0,0
"180",50,27,1,"Minnesota","Aitkin County",10,8,699,367,332,343,307,3,2,15,9,1,3,1,1,4,10,347,317,5,5,17,15,1,3,1,2,355,329,331,307,3,1,15,9,1,3,1,1,4,8,335,315,5,3,17,14,1,3,1,2,12,3,12,0,0,1,0,0,0,0,0,0,0,2,12,2,0,2,0,1,0,0,0,0
"181",50,27,1,"Minnesota","Aitkin County",10,9,601,293,308,276,284,3,3,8,13,0,1,0,0,6,7,281,291,4,5,11,17,1,2,2,0,285,302,271,279,3,3,8,13,0,1,0,0,3,6,274,285,3,5,10,16,1,2,0,0,8,6,5,5,0,0,0,0,0,0,0,0,3,1,7,6,1,0,1,1,0,0,2,0
"182",50,27,1,"Minnesota","Aitkin County",10,10,771,398,373,378,355,3,2,11,12,2,0,0,0,4,4,382,359,5,4,14,14,2,0,0,0,395,368,375,350,3,2,11,12,2,0,0,0,4,4,379,354,5,4,14,14,2,0,0,0,3,5,3,5,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0
"183",50,27,1,"Minnesota","Aitkin County",10,11,1018,507,511,486,496,3,2,15,11,1,0,0,0,2,2,488,498,3,4,16,11,2,0,0,0,503,509,484,495,3,2,13,10,1,0,0,0,2,2,486,497,3,4,14,10,2,0,0,0,4,2,2,1,0,0,2,1,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0
"184",50,27,1,"Minnesota","Aitkin County",10,12,1372,691,681,673,664,3,1,11,8,1,2,0,2,3,4,676,668,3,1,13,11,2,3,0,2,686,678,669,661,3,1,11,8,1,2,0,2,2,4,671,665,3,1,12,11,2,3,0,2,5,3,4,3,0,0,0,0,0,0,0,0,1,0,5,3,0,0,1,0,0,0,0,0
